0,0.22518
0.001,0.22555
0.002,0.22592
0.003,0.2263
0.004,0.22667
0.005,0.22704
0.006,0.22742
0.007,0.2278
0.008,0.22818
0.009,0.22856
0.01,0.22894
0.011,0.22933
0.012,0.22971
0.013,0.2301
0.014,0.23048
0.015,0.23086
0.016,0.23126
0.017,0.23165
0.018,0.23204
0.019,0.23243
0.02,0.23282
0.021,0.23322
0.022,0.23362
0.023,0.23401
0.024,0.23441
0.025,0.23481
0.026,0.23522
0.027,0.23563
0.028,0.23604
0.029,0.23645
0.03,0.23687
0.031,0.23729
0.032,0.23771
0.033,0.23814
0.034,0.23856
0.035,0.23898
0.036,0.23942
0.037,0.23985
0.038,0.24028
0.039,0.24071
0.04,0.24114
0.041,0.24159
0.042,0.24204
0.043,0.24248
0.044,0.24293
0.045,0.24337
0.046,0.24383
0.047,0.24428
0.048,0.24473
0.049,0.24519
0.05,0.24564
0.051,0.24611
0.052,0.24658
0.053,0.24705
0.054,0.24752
0.055,0.24799
0.056,0.24847
0.057,0.24895
0.058,0.24942
0.059,0.2499
0.06,0.25038
0.061,0.25087
0.062,0.25137
0.063,0.25186
0.064,0.25235
0.065,0.25285
0.066,0.25335
0.067,0.25386
0.068,0.25437
0.069,0.25487
0.07,0.25538
0.071,0.2559
0.072,0.25642
0.073,0.25693
0.074,0.25745
0.075,0.25797
0.076,0.2585
0.077,0.25904
0.078,0.25957
0.079,0.26011
0.08,0.26064
0.081,0.26119
0.082,0.26174
0.083,0.26229
0.084,0.26284
0.085,0.26339
0.086,0.26396
0.087,0.26452
0.088,0.26509
0.089,0.26566
0.09,0.26623
0.091,0.26681
0.092,0.26739
0.093,0.26797
0.094,0.26856
0.095,0.26914
0.096,0.26974
0.097,0.27034
0.098,0.27094
0.099,0.27154
0.1,0.27213
0.101,0.27276
0.102,0.27338
0.103,0.274
0.104,0.27462
0.105,0.27525
0.106,0.27588
0.107,0.27652
0.108,0.27716
0.109,0.27779
0.11,0.27843
0.111,0.27909
0.112,0.27975
0.113,0.2804
0.114,0.28106
0.115,0.28172
0.116,0.2824
0.117,0.28307
0.118,0.28375
0.119,0.28442
0.12,0.2851
0.121,0.28581
0.122,0.28651
0.123,0.28722
0.124,0.28792
0.125,0.28863
0.126,0.28936
0.127,0.29008
0.128,0.29081
0.129,0.29154
0.13,0.29227
0.131,0.29302
0.132,0.29376
0.133,0.29451
0.134,0.29526
0.135,0.29601
0.136,0.29679
0.137,0.29756
0.138,0.29834
0.139,0.29912
0.14,0.2999
0.141,0.3007
0.142,0.3015
0.143,0.3023
0.144,0.3031
0.145,0.3039
0.146,0.30473
0.147,0.30557
0.148,0.3064
0.149,0.30723
0.15,0.30807
0.151,0.30893
0.152,0.30979
0.153,0.31065
0.154,0.31152
0.155,0.31238
0.156,0.31328
0.157,0.31418
0.158,0.31508
0.159,0.31599
0.16,0.31689
0.161,0.31782
0.162,0.31876
0.163,0.31969
0.164,0.32063
0.165,0.32156
0.166,0.32253
0.167,0.3235
0.168,0.32447
0.169,0.32543
0.17,0.3264
0.171,0.32741
0.172,0.32841
0.173,0.32942
0.174,0.33043
0.175,0.33144
0.176,0.33249
0.177,0.33354
0.178,0.33459
0.179,0.33564
0.18,0.33669
0.181,0.33779
0.182,0.33889
0.183,0.33999
0.184,0.34109
0.185,0.34219
0.186,0.34333
0.187,0.34447
0.188,0.3456
0.189,0.34674
0.19,0.34788
0.191,0.34907
0.192,0.35026
0.193,0.35145
0.194,0.35264
0.195,0.35384
0.196,0.35508
0.197,0.35632
0.198,0.35756
0.199,0.35881
0.2,0.36005
0.201,0.36135
0.202,0.36265
0.203,0.36395
0.204,0.36525
0.205,0.36655
0.206,0.36791
0.207,0.36927
0.208,0.37063
0.209,0.37199
0.21,0.37335
0.211,0.37478
0.212,0.37621
0.213,0.37764
0.214,0.37907
0.215,0.38051
0.216,0.38201
0.217,0.38351
0.218,0.38501
0.219,0.38651
0.22,0.38801
0.221,0.38959
0.222,0.39116
0.223,0.39274
0.224,0.39432
0.225,0.39589
0.226,0.39755
0.227,0.39921
0.228,0.40087
0.229,0.40252
0.23,0.40418
0.231,0.40593
0.232,0.40768
0.233,0.40943
0.234,0.41118
0.235,0.41293
0.236,0.41477
0.237,0.41662
0.238,0.41846
0.239,0.42031
0.24,0.42215
0.241,0.4241
0.242,0.42605
0.243,0.428
0.244,0.42995
0.245,0.4319
0.246,0.43395
0.247,0.436
0.248,0.43806
0.249,0.44011
0.25,0.44217
0.251,0.44435
0.252,0.44653
0.253,0.44871
0.254,0.45089
0.255,0.45307
0.256,0.45538
0.257,0.45769
0.258,0.46
0.259,0.46231
0.26,0.46462
0.261,0.46708
0.262,0.46953
0.263,0.47199
0.264,0.47445
0.265,0.4769
0.266,0.47951
0.267,0.48213
0.268,0.48474
0.269,0.48735
0.27,0.48997
0.271,0.49276
0.272,0.49554
0.273,0.49833
0.274,0.50112
0.275,0.50391
0.276,0.50689
0.277,0.50987
0.278,0.51285
0.279,0.51583
0.28,0.51881
0.281,0.52198
0.282,0.52516
0.283,0.52834
0.284,0.53152
0.285,0.5347
0.286,0.53811
0.287,0.54151
0.288,0.54492
0.289,0.54832
0.29,0.55173
0.291,0.55538
0.292,0.55903
0.293,0.56269
0.294,0.56634
0.295,0.56999
0.296,0.57393
0.297,0.57786
0.298,0.5818
0.299,0.58574
0.3,0.58967
0.301,0.59391
0.302,0.59815
0.303,0.60239
0.304,0.60663
0.305,0.61086
0.306,0.61544
0.307,0.62002
0.308,0.6246
0.309,0.62918
0.31,0.63376
